path,pid,channel,iosUrl,adrUrl,dltmpl,name
jjkk014.html,A,jjkk014,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk014.apk,default,
jjkk015.html,A,jjkk015,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk015.apk,default,
jjkk016.html,A,jjkk016,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk016.apk,default,
jjkk017.html,A,jjkk017,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk017.apk,default,
jjkk018.html,A,jjkk018,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk018.apk,default,
jjkk019.html,A,jjkk019,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk019.apk,default,
jjkk020.html,A,jjkk020,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk020.apk,default,
jjkk021.html,A,jjkk021,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk021.apk,default,
jjkk022.html,A,jjkk022,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk022.apk,default,
jjkk023.html,A,jjkk023,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk023.apk,default,
jjkk024.html,A,jjkk024,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk024.apk,default,
jjkk025.html,A,jjkk025,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk025.apk,default,
jjkk026.html,A,jjkk026,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk026.apk,default,
jjkk027.html,A,jjkk027,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk027.apk,default,
jjkk028.html,A,jjkk028,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk028.apk,default,
jjkk029.html,A,jjkk029,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk029.apk,default,
jjkk030.html,A,jjkk030,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk030.apk,default,
jjkk031.html,A,jjkk031,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk031.apk,default,
jjkk032.html,A,jjkk032,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk032.apk,default,
jjkk033.html,A,jjkk033,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk033.apk,default,
jjkk034.html,A,jjkk034,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk034.apk,default,
jjkk035.html,A,jjkk035,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk035.apk,default,
jjkk036.html,A,jjkk036,https://cvbn4.qixintui.com/ios/mfylzs/manifest.plist,https://asdf7.shangye365.com/apk/jjkk036.apk,default,
